City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Banjar,40,ID,1607801125,88,-8.19,114.97,78.8,5.82
Carnarvon,40,AU,1607801057,88,-24.87,113.63,71.6,11.41
Naivasha,100,KE,1607801125,85,-0.72,36.44,59.0,11.01
Itoman,20,JP,1607801126,64,26.12,127.67,68.0,1.12
Dudinka,100,RU,1607801126,76,69.41,86.18,-4.0,29.08
Ussel,82,FR,1607801126,43,45.55,2.32,37.99,4.83
Airai,100,TL,1607801126,100,-8.93,125.41,61.5,2.21
Christchurch,23,NZ,1607801126,76,-43.53,172.63,57.0,1.12
Kangaatsiaq,100,GL,1607801126,84,68.31,-53.46,15.35,8.46
Moroto,71,UG,1607801126,43,2.53,34.67,72.19,11.95
Wajima,52,JP,1607801126,66,37.4,136.9,50.45,20.4
Geraldton,75,AU,1607801127,83,-28.77,114.6,69.8,14.99
Lüderitz,0,NA,1607800997,53,-26.65,15.16,73.4,23.04
City of San Pedro,40,PH,1607801096,78,14.35,121.02,82.4,4.7
Vardø,100,NO,1607801127,94,70.37,31.11,28.72,21.41
Port Elizabeth,40,ZA,1607801127,93,-33.92,25.57,62.6,4.7
La Ronge,100,CA,1607801127,92,55.1,-105.28,19.4,11.41
Rusape,56,ZW,1607801127,88,-18.53,32.13,65.32,6.29
Gornopravdinsk,93,RU,1607801127,95,60.05,69.9,11.86,5.59
Eyl,100,SO,1607801127,65,7.98,49.82,74.79,17.34
Buford,40,US,1607801028,63,34.12,-84.0,66.2,8.05
Dunedin,100,NZ,1607801127,66,-45.87,170.5,52.0,11.99
Baykit,58,RU,1607801128,80,61.67,96.37,-29.16,1.9
San Patricio,75,US,1607801128,73,28.02,-97.52,69.8,14.99
Sangar,54,RU,1607801128,78,63.92,127.47,-46.41,1.77
Aksu,99,CN,1607801128,98,41.12,80.26,24.3,2.68
Westport,90,US,1607800970,93,41.14,-73.36,50.0,10.29
Takoradze,97,GH,1607801128,84,4.88,-1.76,80.51,6.15
Nikolskoye,0,RU,1607801128,92,59.7,30.79,23.0,6.71
Najrān,0,SA,1607801128,36,17.49,44.13,60.8,0.89
Codrington,100,AU,1607801128,36,-38.27,141.97,65.95,11.27
Saquarema,75,BR,1607801007,86,-22.92,-42.51,80.6,5.82
Guanare,0,VE,1607801129,55,9.04,-69.74,85.98,4.9
Langxiang,46,CN,1607801129,90,46.95,128.88,-2.36,2.66
Fort Nelson,75,CA,1607801129,76,58.81,-122.7,-5.8,3.36
São José da Coroa Grande,6,BR,1607801129,70,-8.9,-35.15,80.51,11.74
Abhā,0,SA,1607801129,93,18.22,42.51,57.2,1.39
Ol'ga,92,RU,1607801129,82,43.74,135.29,10.9,5.37
Nizhniy Kuranakh,100,RU,1607801129,81,58.84,125.49,-32.55,1.28
Douentza,0,ML,1607801129,18,15.0,-2.95,77.02,7.43
Husavik,100,IS,1607800944,81,66.04,-17.34,41.0,33.33
Mar del Plata,0,AR,1607801130,38,-38.0,-57.56,73.4,16.11
Aloleng,1,PH,1607801130,81,16.13,119.78,80.13,4.05
Castro,93,BR,1607801028,58,-24.79,-50.01,78.21,4.97
Mehamn,100,NO,1607801130,96,71.04,27.85,28.27,9.66
Dem'yanovo,99,RU,1607801130,94,60.35,47.08,15.6,7.49
Krabi,20,TH,1607801130,100,8.07,98.91,73.4,4.05
Kapurthala Town,20,IN,1607801130,93,31.38,75.38,50.0,3.78
Karatuzskoye,100,RU,1607801131,95,53.61,92.87,8.69,4.47
Zabid,0,YE,1607801131,56,14.2,43.32,79.54,6.89
Bethel,90,US,1607801131,100,41.37,-73.41,45.0,2.62
Deogarh,0,IN,1607801131,49,21.53,84.73,65.05,1.86
Bolshevik,75,BY,1607801131,85,54.01,27.57,24.8,15.66
Hokitika,100,NZ,1607801131,83,-42.72,170.97,53.89,9.84
Beyneu,0,KZ,1607801131,93,45.32,55.2,19.72,12.91
Honolulu,20,US,1607801094,57,21.31,-157.86,80.6,13.87
Tucuruí,98,BR,1607801131,59,-3.77,-49.67,88.95,0.96
Muskegon,90,US,1607800897,86,43.3,-86.13,33.8,9.17
Katsuura,40,JP,1607801131,81,35.13,140.3,50.0,10.29
Dekar,4,BW,1607801132,41,-21.53,21.93,82.27,11.12
Oranjestad,40,AW,1607801096,70,12.52,-70.03,84.2,18.34
Gayny,100,RU,1607801132,94,60.31,54.32,14.7,6.8
Emerald,40,AU,1607801132,69,-23.53,148.17,73.4,6.93
Nanortalik,100,GL,1607801132,86,60.14,-45.24,32.14,10.54
Muros,100,ES,1607801132,92,42.78,-9.06,57.0,8.01
Thompson,90,CA,1607801132,84,55.74,-97.86,-2.2,3.36
Marabu,40,MY,1607801132,100,4.41,114.01,77.0,1.12
Havelock,92,US,1607801042,67,34.88,-76.9,69.01,5.99
Maku,100,IR,1607801133,81,39.29,44.45,34.83,2.73
Garoowe,70,SO,1607801133,44,8.41,48.48,71.33,16.98
Vila Velha,0,BR,1607801057,74,-20.33,-40.29,86.0,19.46
Hasaki,20,JP,1607801133,86,35.73,140.83,41.0,5.82
Krasnosel'kup,100,RU,1607801133,95,65.7,82.47,8.74,17.98
Conceição da Barra,0,BR,1607801133,69,-18.59,-39.73,80.67,12.39
Ukiah,90,US,1607801133,87,39.15,-123.21,53.01,3.6
Te Anau,7,NZ,1607801010,80,-45.42,167.72,45.0,0.72
Ubari,0,LY,1607801133,47,26.59,12.78,62.06,9.17
Pevek,100,RU,1607801134,85,69.7,170.31,5.97,0.85
Umm Kaddadah,0,SD,1607801134,19,13.6,26.69,76.84,10.71
Ust'-Kulom,95,RU,1607801134,97,61.69,53.69,18.72,4.79
Buguda,0,IN,1607801134,73,19.82,84.8,66.78,0.92
Safi,0,MA,1607801134,82,32.3,-9.24,63.54,18.01
Witu,1,KE,1607801134,78,-2.39,40.44,80.6,7.05
East London,40,ZA,1607801134,93,-33.02,27.91,64.4,6.93
Izumo,75,JP,1607801134,70,35.37,132.77,46.4,10.29
Huiloapan,14,MX,1607801134,43,18.75,-97.32,67.95,4.0
Bengkulu,98,ID,1607801134,78,-3.8,102.27,75.43,6.26
Batticaloa,100,LK,1607801135,76,7.71,81.69,77.52,5.99
Aasiaat,100,GL,1607801135,87,68.71,-52.87,13.42,5.95
Elizabeth City,90,US,1607800893,72,36.29,-76.25,66.0,8.05
Ponta do Sol,75,PT,1607801135,93,32.67,-17.1,62.6,4.7
Holbeach,100,GB,1607801135,92,52.8,0.01,44.01,11.12
Kulhudhuffushi,51,MV,1607801135,69,6.62,73.07,81.99,4.12
Hendek,75,TR,1607801135,45,40.8,30.75,64.4,2.24
Santa Fe,100,AR,1607801135,64,-31.63,-60.7,79.0,7.0
Banyo,6,CM,1607801135,41,6.75,11.82,73.44,5.57
Hornepayne,100,CA,1607801136,91,49.21,-84.77,10.87,9.95
São Félix do Xingu,85,BR,1607801136,52,-6.64,-51.99,89.96,4.14
Fairbanks,20,US,1607800880,75,64.84,-147.72,-4.0,5.82
Kovdor,100,RU,1607801136,97,67.57,30.48,19.04,4.47
Kirakira,0,SB,1607801136,77,-10.45,161.92,78.78,5.21
Honiara,20,SB,1607801136,88,-9.43,159.95,73.4,2.24
Nokaneng,100,BW,1607801136,58,-19.67,22.27,77.4,3.29
Cabo San Lucas,1,MX,1607801136,57,22.89,-109.91,78.01,3.0
Tiksi,35,RU,1607801136,82,71.69,128.87,-35.1,6.06
Dickinson,90,US,1607801137,82,29.46,-95.05,69.01,6.93
Provideniya,100,RU,1607801137,93,64.38,-173.3,10.96,30.53
Cascais,75,PT,1607800957,93,38.7,-9.42,62.01,3.36
Los Llanos de Aridane,20,ES,1607801137,72,28.66,-17.92,66.2,6.93
Longyearbyen,75,SJ,1607801137,78,78.22,15.64,14.0,3.36
Lazo,0,RU,1607801137,79,43.38,133.9,9.1,4.12
Tautira,75,PF,1607801137,66,-17.73,-149.15,84.2,10.29
Ormara,0,PK,1607801137,38,25.21,64.64,72.18,7.07
Walvis Bay,0,NA,1607801137,72,-22.96,14.51,62.6,10.29
Tupik,100,RU,1607801138,86,54.43,119.93,-12.93,3.22
Isiro,0,CD,1607801138,61,2.77,27.62,69.66,1.01
Vila,96,PT,1607801138,91,42.03,-8.16,51.01,5.01
Dingle,100,PH,1607801138,89,11.0,122.67,76.23,6.15
Matara,100,LK,1607801138,85,5.95,80.54,76.86,1.54
Hamilton,20,US,1607801138,77,39.18,-84.53,62.01,11.41
Port Lincoln,100,AU,1607801138,92,-34.73,135.87,66.22,24.47
Padang,100,ID,1607801138,66,-0.95,100.35,77.76,2.86
Tuim,100,RU,1607801138,89,54.34,89.93,7.18,5.28
Lipin Bor,17,RU,1607801139,96,60.26,37.98,16.88,6.53
Coyhaique,40,CL,1607801139,50,-45.58,-72.07,55.4,9.17
Seybaplaya,5,MX,1607801139,61,19.65,-90.67,80.28,7.25
Pisco,20,PE,1607801139,77,-13.7,-76.22,69.8,8.05
Linxia Chengguanzhen,100,CN,1607801139,92,35.6,103.21,16.34,3.87
Norman Wells,20,CA,1607801139,73,65.28,-126.83,-31.0,3.36
Cherskiy,100,RU,1607801139,90,68.75,161.3,-10.98,5.03
Kahului,20,US,1607800843,69,20.89,-156.47,75.99,12.75
Asău,100,RO,1607801140,89,46.43,26.4,33.01,3.22
Robertsport,36,LR,1607801140,82,6.75,-11.37,80.78,8.57
Sala Consilina,82,IT,1607801140,77,40.39,15.6,46.0,4.0
Dawlatabad,100,AF,1607801140,96,36.41,64.91,31.14,7.02
Seydi,91,TM,1607801140,98,39.48,62.91,26.1,6.35
Waddān,61,LY,1607801140,50,29.16,16.14,67.12,11.07
Dikson,100,RU,1607801140,91,73.51,80.55,-4.94,12.55
Salta,40,AR,1607800892,45,-24.79,-65.41,86.0,11.41
Alice Springs,90,AU,1607800983,83,-23.7,133.88,73.4,6.93
Córdoba,20,AR,1607800875,40,-31.41,-64.18,91.99,18.34
Quang Ngai,25,VN,1607801141,91,15.12,108.8,72.21,4.09
Acaraú,0,BR,1607801092,62,-2.89,-40.12,85.03,19.86
Lugano,0,CH,1607801141,93,46.01,8.96,37.0,2.24
Saint-Pierre,0,RE,1607801141,69,-21.34,55.48,75.2,14.99
Torbay,75,CA,1607801141,69,47.67,-52.73,36.0,11.41
Palmer,90,US,1607801141,100,42.16,-72.33,43.0,6.93
Avera,1,US,1607801142,49,33.19,-82.53,69.8,9.17
Saurimo,86,AO,1607801142,96,-9.66,20.39,66.45,5.23
Khandyga,91,RU,1607801142,77,62.67,135.6,-46.46,0.45
Skibbereen,75,IE,1607801142,87,51.55,-9.27,42.8,9.17
Hithadhoo,2,MV,1607801142,78,-0.6,73.08,81.72,15.52
Colares,75,PT,1607801142,93,38.8,-9.45,62.01,3.36
Ust-Kuyga,13,RU,1607801142,79,70.02,135.6,-38.92,4.12
West Bay,20,KY,1607801142,74,19.37,-81.42,84.2,12.75
Faanui,100,PF,1607801142,79,-16.48,-151.75,79.43,14.9
Cidreira,61,BR,1607801014,70,-30.18,-50.21,77.67,6.67
Lebu,100,CL,1607801143,97,-37.62,-73.65,57.31,13.87
Meulaboh,100,ID,1607801143,89,4.14,96.13,76.53,4.41
Fethiye,75,TR,1607801143,68,36.62,29.12,64.4,19.46
Alexandria,0,EG,1607801143,58,31.22,29.96,57.2,4.7
Ouésso,100,CG,1607801143,74,1.61,16.05,77.74,3.53
Kudahuvadhoo,52,MV,1607801143,72,2.67,72.89,82.81,10.69
Benjamin Constant,75,BR,1607801144,83,-4.38,-70.03,78.8,6.93
Cayenne,100,GF,1607801144,74,4.93,-52.33,84.2,9.17
Srednekolymsk,100,RU,1607801144,87,67.45,153.68,-21.87,5.68
Upington,0,ZA,1607801144,18,-28.45,21.26,73.4,4.7
Fomboni,70,KM,1607801144,74,-12.28,43.74,82.45,9.6
Caravelas,0,BR,1607801144,64,-17.71,-39.25,81.3,11.23
Kununurra,100,AU,1607801144,100,-15.77,128.73,78.8,5.82
Constitución,83,CL,1607800856,67,-35.33,-72.42,63.46,13.76
Bonavista,100,CA,1607801144,80,48.65,-53.11,33.8,3.36
Nyrob,100,RU,1607801145,96,60.73,56.72,16.38,6.58
Erzin,5,TR,1607800898,52,36.96,36.2,63.0,5.99
Sabang,95,ID,1607801145,77,5.89,95.32,80.51,5.41
Kozhva,98,RU,1607801145,95,65.11,57.05,7.25,5.44
Poso,99,ID,1607801145,76,-1.4,120.75,79.0,6.13
Samarai,19,PG,1607801145,79,-10.62,150.67,80.56,10.45
Sitka,90,US,1607801145,80,57.05,-135.33,39.2,5.82
Worland,90,US,1607801145,79,44.02,-107.96,25.0,11.41
Kutum,0,SD,1607801145,23,14.2,24.67,66.38,6.85
Sassandra,100,CI,1607801146,87,4.95,-6.08,78.48,5.68
Starkville,90,US,1607801063,87,33.45,-88.82,62.01,4.7
Yilan,75,TW,1607801146,88,24.76,121.75,66.0,9.17
Saint George,90,US,1607801146,81,37.1,-113.58,44.01,21.92
Bako,0,ET,1607801146,50,5.78,36.57,68.16,4.74
Benguela,40,AO,1607801146,75,-12.58,13.41,74.16,3.85
Benghazi,59,LY,1607801146,76,32.12,20.07,65.3,19.75
Labuhan,100,ID,1607801146,83,-6.88,112.21,78.17,9.95
Hofn,100,IS,1607801146,91,64.25,-15.21,40.42,26.22
Sept-Îles,0,CA,1607800884,62,50.2,-66.38,25.0,5.82
Tomatlán,100,MX,1607801146,45,19.93,-105.25,87.06,4.59
Benalla,100,AU,1607801147,76,-36.55,145.98,51.8,6.35
Arrondissement de Vichy,75,FR,1607801147,87,46.25,3.58,46.99,12.75
Chicama,40,PE,1607801147,82,-7.84,-79.15,66.2,9.17
Maniitsoq,100,GL,1607801147,83,65.42,-52.9,25.21,2.68
Laguna,75,US,1607800857,87,38.42,-121.42,50.0,12.75
Tromsø,75,NO,1607801147,93,69.65,18.96,32.0,5.82
Arman',92,RU,1607801147,85,59.7,150.17,-2.13,16.71
Paulista,40,BR,1607801147,61,-7.94,-34.87,82.4,10.29
Bathsheba,40,BB,1607800915,70,13.22,-59.52,84.2,12.75
Ilulissat,75,GL,1607801148,62,69.22,-51.1,19.4,4.7
Ekhabi,100,RU,1607801148,95,53.51,142.97,8.29,12.15
Saskylakh,6,RU,1607801148,82,71.92,114.08,-29.18,12.5
Severo-Kuril'sk,75,RU,1607801148,91,50.68,156.12,26.67,8.21
Mataram,75,ID,1607801128,94,-8.58,116.12,77.0,8.68
Praia da Vitória,75,PT,1607801148,77,38.73,-27.07,63.0,16.13
Abonnema,75,NG,1607801148,94,4.71,6.79,75.2,5.08
Mbulu,13,TZ,1607801148,85,-3.85,35.53,60.76,5.03
Maningrida,100,AU,1607801148,76,-12.07,134.27,81.7,2.15
Narsaq,75,GL,1607801149,62,60.92,-46.05,23.0,2.24
Ishinomaki,100,JP,1607801149,74,38.42,141.3,38.8,8.14
Grand Gaube,6,MU,1607801149,79,-20.01,57.66,73.99,5.99
Bilma,1,NE,1607801149,21,18.69,12.92,72.01,3.85
Egvekinot,68,RU,1607801149,89,66.32,-179.17,3.33,20.58
Abhaynagar,0,BD,1607801149,56,23.01,89.4,65.79,2.95
Salé,40,MA,1607801149,93,34.04,-6.82,59.0,4.36
Pechora,99,RU,1607801149,95,65.15,57.22,7.25,6.06
Ambilobe,77,MG,1607800926,85,-13.2,49.05,77.23,2.04
Bom Jesus,9,BR,1607801149,27,-9.07,-44.36,94.12,8.28
Atar,0,MR,1607801150,18,20.52,-13.05,70.05,8.05
Saint Anthony,90,US,1607801150,63,45.02,-93.22,32.0,11.41
Necochea,68,AR,1607800973,45,-38.55,-58.74,73.0,18.32
Tombouctou,0,ML,1607801150,22,20.0,-3.0,69.03,9.22
Biak,100,ID,1607801150,79,-0.91,122.88,77.49,2.13
Catuday,1,PH,1607801150,83,16.29,119.81,79.38,4.94
Chernyshevskiy,47,RU,1607801150,82,63.01,112.47,-40.9,3.6
Swan Hill,100,AU,1607801150,44,-35.34,143.55,69.15,16.51
Puri,0,IN,1607801150,88,19.8,85.85,68.0,3.36
Clyde River,90,CA,1607801151,92,70.47,-68.59,6.8,20.8
Mahon,40,ES,1607801151,87,39.89,4.27,51.8,6.93
Faribault,90,US,1607801151,74,44.3,-93.27,30.2,13.87
Coquimbo,20,CL,1607801040,72,-29.95,-71.34,62.6,14.99
Cap-aux-Meules,100,CA,1607801102,74,47.38,-61.86,33.8,17.22
Diego de Almagro,0,CL,1607801151,16,-26.37,-70.05,81.81,13.24
Deep River,90,CA,1607801151,98,46.1,-77.5,32.0,8.05
La Santisima Trinidad,40,BO,1607801151,62,-14.83,-64.9,89.6,14.99
Haines Junction,100,CA,1607801151,83,60.75,-137.51,-7.6,1.61
Puerto Escondido,100,MX,1607800994,65,15.85,-97.07,83.88,6.24
Ozernovskiy,77,RU,1607801151,93,51.5,156.52,27.45,9.6
Olafsvik,100,IS,1607801152,81,64.89,-23.71,39.11,20.85
Miandrivazo,100,MG,1607801152,77,-19.52,45.47,78.01,1.68
Bagotville,75,AU,1607801152,88,-28.98,153.42,68.0,20.8
Klaksvík,100,FO,1607801152,100,62.23,-6.59,42.8,17.22
Narganá,83,PA,1607801152,70,9.44,-78.59,82.83,12.86
Moundsville,90,US,1607801152,66,39.92,-80.74,57.0,14.99
Taltal,22,CL,1607801152,56,-25.4,-70.48,68.85,8.63
Salalah,0,OM,1607801152,25,17.02,54.09,73.4,3.36
Tabou,100,CI,1607801152,86,4.42,-7.35,79.27,7.7
Bandi̇̄pur,0,NP,1607801152,80,27.93,84.42,49.17,2.89
Normandin,100,CA,1607801153,85,48.83,-72.53,17.6,3.36
Kuito,100,AO,1607801153,87,-12.38,16.93,63.3,2.71
Chunskiy,98,RU,1607801153,91,56.08,99.63,-5.21,0.94
Nipawin,90,CA,1607801153,85,53.37,-104.0,21.2,14.99
Touros,20,BR,1607801153,62,-5.2,-35.46,84.2,13.87
Caucayá,96,CO,1607801153,72,-0.19,-74.78,84.38,5.12
Pacific Grove,90,US,1607801153,93,36.62,-121.92,57.2,6.93
Mossamedes,0,AO,1607801153,67,-15.2,12.15,69.03,3.65
Kariba,95,ZW,1607801153,71,-16.52,28.8,77.14,1.28
Port Hedland,40,AU,1607801153,83,-20.32,118.57,75.2,5.82
Atasū,0,KZ,1607801153,93,48.68,71.64,-2.76,2.8
Byumba,40,RW,1607801154,64,-1.58,30.07,71.6,6.93
Kimbe,82,PG,1607801154,87,-5.55,150.14,76.17,2.44
Banda Aceh,93,ID,1607801154,80,5.56,95.32,78.12,4.85
Nagornyy,75,RU,1607801154,78,52.8,83.55,10.4,11.18
Flinders,84,AU,1607801154,89,-34.58,150.86,62.01,4.0
Russell,90,US,1607801154,56,32.35,-85.2,71.6,9.17
San Andrés,20,CO,1607801154,70,12.58,-81.7,86.0,11.41
Rudnyy,0,KZ,1607801154,76,52.96,63.12,-4.0,4.47
Henties Bay,0,NA,1607801155,84,-22.12,14.28,62.01,8.01
La Joya,100,MX,1607801155,41,18.67,-99.47,86.0,1.99
Saint-Philippe,0,RE,1607801155,69,-21.36,55.77,75.2,14.99
Talnakh,100,RU,1607801155,76,69.49,88.4,-4.0,29.08
Cheyenne,75,US,1607801155,92,41.14,-104.82,24.01,9.17
Naze,40,JP,1607800928,68,28.37,129.48,66.2,12.75
Nuuk,75,GL,1607801155,53,64.18,-51.72,21.2,3.36
Srandakan,16,ID,1607801155,86,-7.94,110.25,76.48,3.85
North Bend,1,US,1607801155,75,43.41,-124.22,46.4,8.05
Bad Hofgastein,100,AT,1607801156,95,47.17,13.1,32.0,0.81
Zyuzel'skiy,0,RU,1607801156,72,56.49,60.13,15.8,15.66
Dawei,27,MM,1607801156,84,14.08,98.2,73.65,2.42
Bud,90,US,1607801156,75,39.45,-86.18,46.99,14.99
Yulara,75,AU,1607801156,83,-25.24,130.99,73.4,8.05
Totness,100,SR,1607801156,74,5.88,-56.32,82.51,9.86
Pundaguitan,100,PH,1607801156,74,6.37,126.17,83.01,9.55
Gushikawa,1,JP,1607801156,87,26.35,127.87,68.0,4.7
Yerbogachën,24,RU,1607801156,79,61.28,108.01,-39.55,5.46
Belomorsk,100,RU,1607801157,98,64.52,34.77,30.36,4.12
Lincoln,75,US,1607801104,80,40.8,-96.67,34.0,13.87
Kavaratti,0,IN,1607801157,75,10.57,72.64,82.29,8.16
San Policarpo,76,PH,1607801157,81,12.18,125.51,81.14,6.58
Kiryat Gat,20,IL,1607801157,67,31.61,34.76,63.0,3.36
Altay,49,CN,1607801157,53,47.87,88.12,-0.04,3.22
Kathmandu,20,NP,1607801096,87,27.72,85.32,44.6,3.36
Chancay,40,PE,1607801157,64,-11.57,-77.27,73.4,9.17
Timberlake,20,US,1607801103,48,37.32,-79.26,64.99,11.41
Pechenga,73,RU,1607801158,92,69.53,31.17,21.2,25.28
Rio Grande,0,BR,1607801158,62,-32.03,-52.1,84.2,4.7
Saint-Augustin,0,CA,1607801158,89,51.23,-58.65,22.23,12.8
Vágur,85,FO,1607801158,82,61.47,-6.81,46.76,24.49
Thai Nguyen,40,VN,1607801102,94,21.59,105.84,68.0,8.05
Manaure,100,CO,1607801158,58,11.78,-72.44,85.98,19.13
Ribiţa,100,RO,1607801158,78,46.18,22.77,40.84,2.08
Cairns,40,AU,1607801158,83,-16.92,145.77,73.4,8.05
